Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2023-09-05,100.48,100.3299,100.3231,100.6999,100.476,0.0,0.0,0.0,0.0,0.0
2023-09-04,100.485,100.3264,100.3264,100.7001,100.4797,0.0,0.0,0.0,0.0,0.0
2023-09-01,100.4849,100.3299,100.3297,100.6701,100.4834,0.0,0.0,0.0,0.0,0.0
2023-08-31,100.505,100.31,100.1273,100.65,100.4946,0.0,0.0,0.0,0.0,0.0
2023-08-30,100.5,100.33,100.1287,100.6699,100.4983,0.0,0.0,0.0,0.0,0.0
2023-08-29,100.4829,100.3099,100.1079,100.6398,100.4793,0.0,0.0,0.0,0.0,0.0
2023-08-28,100.4824,100.3299,100.1093,100.6502,100.483,0.0,0.0,0.0,0.0,0.0
2023-08-25,100.4812,100.3299,100.1108,100.6499,100.4868,0.0,0.0,0.0,0.0,0.0
2023-08-24,100.4849,100.3399,100.1151,100.66,100.4981,0.0,0.0,0.0,0.0,0.0
2023-08-23,100.4899,100.3501,100.1166,100.7499,100.5019,0.0,0.0,0.0,0.0,0.0
2023-08-22,100.495,100.3599,100.1181,100.75,100.5057,0.0,0.0,0.0,0.0,0.0
2023-08-21,100.5001,100.3663,100.1196,100.7449,100.5095,0.0,0.0,0.0,0.0,0.0
2023-08-18,100.595,100.3701,100.1211,100.6902,100.5133,0.0,0.0,0.0,0.0,0.0
2023-08-17,100.6051,100.38,100.1256,100.7101,100.5248,0.0,0.0,0.0,0.0,0.0
2023-08-16,100.625,100.4,100.1271,100.7301,100.5286,0.0,0.0,0.0,0.0,0.0
2023-08-15,100.625,100.4,100.1271,100.7301,100.5286,0.0,0.0,0.0,0.0,0.0
2023-08-14,100.625,100.4,100.1271,100.7301,100.5286,0.0,0.0,0.0,0.0,4.1
2023-08-11,100.6449,100.41,100.1318,100.7501,100.5402,0.0,0.0,0.0,0.0,0.0
2023-08-10,100.645,100.41,100.1365,100.7601,100.5788,0.0,0.0,0.0,0.0,0.0
2023-08-09,100.655,100.41,100.1381,100.7502,100.5812,0.0,0.0,0.0,0.0,0.0
2023-08-08,100.655,100.4099,100.1397,100.7598,100.5837,0.0,0.0,0.0,0.0,0.0
2023-08-07,100.6201,100.426,100.1413,100.777,100.5862,0.0,0.0,0.0,0.0,0.0
2023-08-04,100.6849,100.4299,100.1429,100.7799,100.5887,0.0,0.0,0.0,0.0,0.0
2023-08-03,100.695,100.4401,100.1478,100.7902,100.5379,0.0,0.0,0.0,0.0,0.0
2023-08-02,100.695,100.4399,100.1494,100.79,100.5401,0.0,0.0,0.0,0.0,0.0
2023-08-01,100.7051,100.43,100.1511,100.7702,100.5423,0.0,0.0,0.0,0.0,0.0
2023-07-31,100.6952,100.5,100.1528,100.7998,100.5445,0.0,0.0,0.0,0.0,0.0
2023-07-28,100.6651,100.43,100.1544,100.7799,100.5467,0.0,0.0,0.0,0.0,0.0
2023-07-27,100.6615,100.4402,100.1372,100.7999,100.5512,0.0,0.0,0.0,0.0,0.0
2023-07-26,100.7151,100.4301,100.139,100.7899,100.5534,0.0,0.0,0.0,0.0,0.0
2023-07-25,100.6626,100.4499,100.1407,100.8,100.5556,0.0,0.0,0.0,0.0,0.0
2023-07-24,100.7449,100.4499,100.1424,100.7998,100.5578,0.0,0.0,0.0,0.0,0.0
2023-07-21,100.6849,100.4601,100.1441,100.8099,100.5601,0.0,0.0,0.0,0.0,0.0
2023-07-20,100.6999,100.5001,100.1494,100.7997,100.5668,0.0,0.0,0.0,0.0,0.0
2023-07-19,100.6898,100.51,100.1511,100.79,100.569,0.0,0.0,0.0,0.0,0.0
2023-07-18,100.6651,100.4601,100.1529,100.8003,100.5713,0.0,0.0,0.0,0.0,0.0
2023-07-17,100.6494,100.5455,100.1547,100.8173,100.5735,0.0,0.0,0.0,0.0,0.0
2023-07-14,100.6549,100.55,100.1565,100.8202,100.5758,0.0,0.0,0.0,0.0,0.0
2023-07-13,100.795,100.55,100.1619,100.9403,100.5826,0.0,0.0,0.0,0.0,0.0
2023-07-12,100.7951,100.4901,100.1637,100.8199,100.5849,0.0,0.0,0.0,0.0,0.0
2023-07-11,100.8051,100.4902,100.1655,100.8297,100.5872,0.0,0.0,0.0,0.0,0.0
2023-07-10,100.7548,100.5098,100.1674,100.8499,100.5895,0.0,0.0,0.0,0.0,0.0
2023-07-07,100.8352,100.5099,100.1692,100.8502,100.5917,0.0,0.0,0.0,0.0,0.0
2023-07-06,100.7776,100.5102,100.1748,100.8503,100.5986,0.0,0.0,0.0,0.0,0.0
2023-07-05,100.8249,100.5001,100.1767,100.8302,100.6009,0.0,0.0,0.0,0.0,0.0
2023-07-04,100.785,100.4899,100.1786,100.8197,100.6032,0.0,0.0,0.0,0.0,0.0
2023-07-03,100.7449,100.4762,100.1805,100.7972,100.6056,0.0,0.0,0.0,0.0,0.0
2023-06-30,100.7852,100.4799,100.1824,100.8,100.6079,0.0,0.0,0.0,0.0,0.0
2023-06-29,100.7877,100.4801,100.1882,100.7998,100.6149,0.0,0.0,0.0,0.0,0.0
2023-06-28,100.7877,100.4801,100.1882,100.7998,100.6149,0.0,0.0,0.0,0.0,0.0
2023-06-27,100.7901,100.4902,100.192,100.9001,100.6195,0.0,0.0,0.0,0.0,0.0
2023-06-26,100.8849,100.5101,100.194,100.83,100.6219,0.0,0.0,0.0,0.0,0.0
2023-06-23,100.8049,100.5202,100.196,100.8401,100.6242,0.0,0.0,0.0,0.0,0.0
2023-06-22,100.8949,100.5198,100.2019,100.8401,100.6313,0.0,0.0,0.0,0.0,0.0
2023-06-21,100.8249,100.5201,100.2039,100.8503,100.6336,0.0,0.0,0.0,0.0,0.0
2023-06-20,100.8299,100.5199,100.2059,100.8503,100.636,0.0,0.0,0.0,0.0,0.0
2023-06-19,100.8349,100.536,100.2079,100.8473,100.6384,0.0,0.0,0.0,0.0,0.0
2023-06-16,100.875,100.5399,100.2099,100.8502,100.6407,0.0,0.0,0.0,0.0,0.0
2023-06-15,100.8749,100.56,100.216,100.88,100.6479,0.0,0.0,4.005,0.0,0.0
2023-06-14,100.8602,100.5701,100.2181,100.8898,100.6503,0.0,0.0,0.0,0.0,0.0
2023-06-13,100.8749,100.5699,100.2287,100.8898,100.6655,0.0,0.0,0.0,0.0,0.0
2023-06-12,100.8351,100.5899,100.2293,100.9103,100.6679,0.0,0.0,0.0,0.0,0.0
2023-06-09,100.8849,100.5798,100.2299,100.9004,100.6704,0.0,0.0,0.0,0.0,0.0
2023-06-08,100.9849,100.5799,100.2316,101.03,100.6778,0.0,0.0,0.0,0.0,0.0
2023-06-07,100.9849,100.5698,100.2322,100.9001,100.6802,0.0,4.15,0.0,0.0,0.0
2023-06-06,100.8948,100.5801,100.2328,100.9,100.6827,0.0,0.0,0.0,0.0,0.0
2023-06-05,100.8951,100.5678,100.2333,100.8968,100.6852,0.0,0.0,0.0,0.0,0.0
2023-06-02,101.0049,100.5702,100.2339,100.8998,100.6877,0.0,0.0,0.0,0.0,0.0
2023-06-01,101.0047,100.6498,100.2357,101.0297,100.6951,0.0,0.0,0.0,0.0,0.0
2023-05-31,100.9451,100.62,100.2364,100.9998,100.6976,0.0,0.0,0.0,0.0,0.0
2023-05-30,100.9401,100.5702,100.237,101.0103,100.7001,0.0,0.0,0.0,0.0,0.0
2023-05-29,101.0049,100.5803,100.237,101.0302,100.8717,0.0,0.0,0.0,0.0,0.0
2023-05-26,101.0151,100.5498,100.2376,101.0304,100.8749,0.0,0.0,0.0,0.0,0.0
2023-05-25,100.955,100.5498,100.2395,101.0203,100.8844,4.415,0.0,0.0,0.0,0.0
2023-05-24,100.9551,100.64,100.2401,101.0196,100.8876,0.0,0.0,0.0,0.0,0.0
