Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2014-02-12,100.3875,95.273,93.1354,95.22,94.5337,0.0,0.0,0.0,0.0,0.040999999999999995
2014-02-13,99.9807,95.0074,93.4384,95.1024,94.2541,0.0,0.0,0.0,0.0,0.0
2014-02-14,100.2259,95.31,93.4338,95.4405,94.5823,0.0,0.0,0.0,0.0,0.0
2014-02-17,100.3443,95.3029,93.6318,95.3827,94.5928,0.0,0.0,0.0,0.0,0.0
2014-02-18,100.5516,95.5024,93.6256,95.6031,94.7977,0.0,0.0,0.0,0.0,0.0
2014-02-19,100.5438,95.4958,93.5196,95.6121,94.7908,0.0,0.0,0.0,0.0,0.0
2014-02-20,100.4316,95.3888,93.4634,95.5237,94.6785,0.0,0.0,0.0,0.0,0.0
2014-02-21,100.368,95.3309,92.9978,95.52,94.6206,0.0,0.0,0.0,0.0,0.0
2014-02-24,99.8812,94.8628,93.0375,94.9041,94.1227,0.0,0.0,0.0,0.0,0.0
2014-02-25,99.9178,94.9009,92.7852,94.9767,94.1752,0.0,0.0,0.0,0.0,0.0
2014-02-26,99.6532,94.6471,92.7797,94.7546,93.9063,0.0,0.0,0.0,0.0,0.0
2014-02-27,99.6462,94.6412,93.0981,94.7616,93.9002,0.0,0.0,0.0,0.0,0.0
2014-02-28,99.9774,94.9618,92.9158,95.1269,94.2212,0.0,0.0,0.0,0.0,0.0
2014-03-03,99.7843,94.7776,93.187,94.7086,93.908,0.0,0.0,0.0,0.0,0.0
2014-03-04,100.1256,95.1093,93.1738,95.0836,94.2731,0.0,0.0,0.0,0.0,0.0
2014-03-05,100.1128,95.0967,93.4299,95.0745,94.2513,0.0,0.0,0.0,0.0,0.0
2014-03-06,100.376,95.3527,93.29,95.3815,94.5327,0.0,0.0,0.0,0.0,0.0
2014-03-07,100.2213,95.209,93.6983,95.2886,94.3966,0.0,0.0,0.0,0.0,0.0
2014-03-10,100.6472,95.5548,93.8523,95.5207,94.7243,0.0,0.0,0.0,0.0,0.0
2014-03-11,100.8171,95.7139,94.0864,95.6648,94.8545,0.0,0.0,0.0,0.0,0.0
2014-03-12,101.0012,95.9516,93.9979,95.9606,95.1454,0.0,0.0,0.0,0.0,0.0
2014-03-13,100.9154,95.8656,93.6774,95.8501,95.0282,0.0,0.0,0.0,0.0,0.0
2014-03-14,100.5832,95.5446,93.6719,95.5254,94.6715,0.0,0.0,0.0,0.0,0.0
2014-03-17,100.5762,95.5388,93.6232,95.5341,94.6654,0.0,0.0,0.0,0.0,0.0
2014-03-18,100.5209,95.488,93.814,95.5121,94.6232,0.0,0.0,0.0,0.0,0.0
2014-03-19,100.7299,95.6845,93.3955,95.6748,94.7899,0.0,0.0,0.0,0.0,0.0
2014-03-20,100.2872,95.2609,93.5417,95.264,94.4252,0.0,0.0,0.0,0.0,0.0
2014-03-21,100.4445,95.4107,93.7235,95.4183,94.5526,0.0,0.0,0.0,0.0,0.0
2014-03-24,100.5655,95.5921,93.6115,95.6461,94.7524,0.0,0.0,0.0,0.0,0.0
2014-03-25,100.4433,95.4773,93.7972,95.5608,94.6469,0.0,0.0,0.0,0.0,0.0
2014-03-26,100.6406,95.666,93.5656,95.7511,94.8273,0.0,0.0,0.0,0.0,0.0
2014-03-27,100.3938,95.4307,93.4317,95.5186,94.5952,0.0,0.0,0.0,0.041749999999999995,0.0
2014-03-28,100.3124,95.2943,93.5539,95.375,94.456,0.0,0.0,0.0,0.0,0.0
2014-03-31,100.3793,95.4188,93.5539,95.4883,94.6352,0.0,0.0,0.0,0.0,0.0
2014-04-01,100.3793,95.4188,92.6103,95.4883,94.6352,0.0,0.0,0.0,0.0,0.0
2014-04-02,99.3762,94.4611,92.6582,94.5523,93.6953,0.0,0.0,0.0,0.0,0.0
2014-04-03,99.438,94.5146,92.2261,94.5323,93.7057,0.0,0.0,0.0,0.0,0.0
2014-04-04,98.9838,94.0184,92.1275,94.1181,93.3101,0.0,0.0,0.0,0.0,0.0
2014-04-07,98.8881,93.9227,91.8563,93.9555,93.176,0.0,0.0,0.0,0.0,0.0
2014-04-08,98.6072,93.6508,91.907,93.647,92.884,0.0,0.0,0.0,0.0,0.0
2014-04-09,98.6586,93.7013,92.1322,93.7033,92.9378,0.0,0.0,0.0,0.0,0.0
2014-04-10,98.8935,93.928,92.3002,93.9426,93.1709,0.0,0.0,0.0,0.0,0.0
2014-04-11,99.0599,94.0941,92.703,94.1463,93.3588,0.0,0.0,0.0,0.0,0.0
2014-04-14,99.4794,94.499,92.2169,94.5906,93.7848,0.0,0.0,0.0,0.0,0.0
2014-04-15,98.9639,94.0066,92.8551,94.0977,93.2945,0.0,0.0,0.0,0.0,0.0
2014-04-16,99.6986,94.7119,92.4624,94.7575,93.9452,0.0,0.0,0.0,0.0,0.0
2014-04-17,99.2876,94.317,93.1202,94.3652,93.5184,0.0,0.0,0.0,0.0,0.0
2014-04-18,99.969,94.9769,93.2372,95.1152,94.2273,0.0,0.0,0.0,0.0,0.0
2014-04-21,100.0349,95.0981,93.3389,95.0699,94.3234,0.0,0.0,0.0,0.0,0.0
2014-04-22,100.2212,95.2077,93.2137,95.2063,94.3757,0.0,0.0,0.0,0.0,0.0
2014-04-23,100.085,95.0795,93.181,95.0922,94.2566,0.0,0.0,0.0,0.0,0.0
2014-04-24,100.1104,95.045,93.2154,95.0716,94.2305,0.0,0.0,0.0,0.0,0.0
2014-04-25,100.1435,95.0791,93.0639,95.1023,94.2629,0.0,0.0,0.0,0.0,0.0
2014-04-28,99.8556,94.9256,93.1975,94.8815,94.1072,0.0,0.0,0.0,0.0,0.0
2014-04-29,99.9909,95.0587,93.4161,95.0427,94.2562,0.0,0.0,0.0,0.0,0.0
2014-04-30,100.299,95.2861,93.4273,95.2381,94.4278,0.0,0.0,0.0,0.0,0.0
2014-05-01,100.3099,95.297,93.5063,95.2549,94.4421,0.0,0.0,0.0,0.0,0.0
2014-05-02,100.3884,95.3756,93.9032,95.3404,94.5247,0.0,0.0,0.0,0.0,0.0
2014-05-05,100.6795,95.7774,93.8799,95.9898,95.1083,0.0,0.0,0.0,0.0,0.0
2014-05-06,100.7159,95.7527,93.7641,95.85,95.028,0.0,0.0,0.0,0.0,0.0
2014-05-07,100.5945,95.6361,93.9762,95.7188,94.9036,0.0,0.0,0.0,0.0,0.0
2014-05-08,100.6812,95.847,94.1177,95.9792,95.0807,0.0,0.0,0.0,0.0,0.0
2014-05-09,100.8289,95.9903,94.0768,96.1098,95.2162,0.0,0.0,0.0,0.0,0.0
2014-05-12,100.7782,95.9458,93.7328,96.1021,95.1935,0.0,0.0,0.0,0.0,0.0
2014-05-13,100.594,95.5925,93.7747,95.8069,94.8763,0.0,0.0,0.0,0.0,0.0
2014-05-14,100.6519,95.6407,93.8899,95.774,94.877,0.0,0.0,0.0,0.0,0.0
2014-05-15,100.778,95.7594,94.1179,95.86,94.9762,0.0,0.0,0.0,0.0,0.0
2014-05-16,100.8845,95.9882,93.6216,96.1046,95.2752,0.0,0.0,0.0,0.0,0.0
2014-05-19,100.3809,95.4335,93.3483,95.4786,94.6454,0.0,0.0,0.0,0.0,0.0
2014-05-20,100.0968,95.1591,93.6883,95.2299,94.4125,0.0,0.0,0.0,0.0,0.0
2014-05-21,100.4529,95.5021,93.8959,95.5846,94.7609,0.0,0.0,0.0,0.0,0.0
2014-05-22,100.6672,95.7715,94.3665,95.8153,94.9813,0.0,0.0,0.0,0.0,0.0
2014-05-23,101.1588,96.2468,94.5838,96.2959,95.4577,0.0,0.0,0.0,0.0,0.0
2014-05-26,101.3825,96.4651,94.5932,96.5351,95.6873,0.04415,0.0,0.0,0.0,0.0
2014-05-27,101.3944,96.4761,94.475,96.5206,95.6835,0.0,0.0,0.0,0.0,0.0
2014-05-28,101.2753,96.3595,94.4915,96.3549,95.539,0.0,0.0,0.0,0.0,0.0
2014-05-29,101.2947,96.3777,94.6361,96.3479,95.5425,0.0,0.0,0.0,0.0,0.0
2014-05-30,101.446,96.4631,94.7119,96.5382,95.6776,0.0,0.0,0.0,0.0,0.0
2014-06-02,101.4632,96.5411,94.8585,96.657,95.8047,0.0,0.0,0.0,0.0,0.0
2014-06-03,101.6194,96.6907,95.0747,96.7839,95.9405,0.0,0.0,0.0,0.0,0.0
2014-06-04,101.852,96.9121,95.4147,96.9666,96.1383,0.0,0.0,0.0,0.0,0.0
2014-06-05,102.21,97.2564,95.5199,97.3035,96.4768,0.0,0.0,0.0,0.0,0.0
2014-06-06,102.3296,97.3665,95.3158,97.3226,96.5345,0.0,0.0,0.0,0.0,0.0
2014-06-09,102.1056,97.156,95.2216,97.4032,96.4725,0.0,0.0415,0.0,0.0,0.0
2014-06-10,102.0,97.0577,94.9819,97.3282,96.3888,0.0,0.0,0.0,0.0,0.0
2014-06-11,101.7492,96.8157,95.1731,97.0577,96.132,0.0,0.0,0.0,0.0,0.0
2014-06-12,101.9392,97.0038,95.1344,97.3047,96.3541,0.0,0.0,0.0,0.0,0.0
2014-06-13,102.0828,96.9602,94.7484,97.2842,96.3258,0.0,0.0,0.0,0.0,0.0
2014-06-16,101.4209,96.5712,94.8817,96.8632,95.9207,0.0,0.0,0.04005,0.0,0.0
2014-06-17,101.5613,96.7063,94.8869,96.9939,96.0531,0.0,0.0,0.0,0.0,0.0
2014-06-18,101.5662,96.7115,94.6346,96.9957,96.0569,0.0,0.0,0.0,0.0,0.0
2014-06-19,101.2416,96.4587,94.4764,96.7637,95.7814,0.0,0.0,0.0,0.0,0.0
2014-06-20,101.0681,96.2962,94.1207,96.6195,95.6322,0.0,0.0,0.0,0.0,0.0
2014-06-23,100.761,95.9382,94.338,96.2266,95.2566,0.0,0.0,0.0,0.0,0.0
2014-06-24,100.9193,96.1553,94.4751,96.4189,95.495,0.0,0.0,0.0,0.0,0.0
2014-06-25,101.1234,96.2925,94.456,96.5748,95.6429,0.0,0.0,0.0,0.0,0.0
2014-06-26,101.1021,96.2728,94.3437,96.555,95.6238,0.0,0.0,0.0,0.0,0.0
2014-06-27,100.9798,96.1582,94.2523,96.4424,95.5127,0.0,0.0,0.0,0.0,0.0
2014-06-30,100.879,96.0641,94.3151,96.3601,95.3656,0.0,0.0,0.0,0.0,0.0
2014-07-01,100.9511,96.1302,94.5553,96.3915,95.411,0.0,0.0,0.0,0.0,0.0
2014-07-02,101.2013,96.3722,94.7441,96.6469,95.6599,0.0,0.0,0.0,0.0,0.0
